Week,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd,N1
12/23/2014,1001,Autauga County,AL,0,100,100,0,0,0,12/23/2014,12/29/2014,23700
12/23/2014,1003,Baldwin County,AL,0,100,100,67.75,0,0,12/23/2014,12/29/2014,88490
12/23/2014,1005,Barbour County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,10050
12/23/2014,1007,Bibb County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,7900
12/23/2014,1009,Blount County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,22040
12/23/2014,1011,Bullock County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,3790
12/23/2014,1013,Butler County,AL,0,100,48.59,0,0,0,12/23/2014,12/29/2014,8440
12/23/2014,1015,Calhoun County,AL,98.06,1.94,0,0,0,0,12/23/2014,12/29/2014,48180
12/23/2014,1017,Chambers County,AL,0,100,69.6,0,0,0,12/23/2014,12/29/2014,15050
12/23/2014,1019,Cherokee County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,9240
12/23/2014,1021,Chilton County,AL,0,100,32.28,0,0,0,12/23/2014,12/29/2014,17280
12/23/2014,1023,Choctaw County,AL,0,100,100,0,0,0,12/23/2014,12/29/2014,5260
12/23/2014,1025,Clarke County,AL,0,100,100,0,0,0,12/23/2014,12/29/2014,10320
12/23/2014,1027,Clay County,AL,0,100,81.21,0,0,0,12/23/2014,12/29/2014,5530
12/23/2014,1029,Cleburne County,AL,71.14,28.86,3.53,0,0,0,12/23/2014,12/29/2014,5750
12/23/2014,1031,Coffee County,AL,0,100,0.08,0,0,0,12/23/2014,12/29/2014,20860
12/23/2014,1033,Colbert County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,23740
12/23/2014,1035,Conecuh County,AL,0,100,42.51,0,0,0,12/23/2014,12/29/2014,5080
12/23/2014,1037,Coosa County,AL,0,100,80.64,0,0,0,12/23/2014,12/29/2014,4050
12/23/2014,1039,Covington County,AL,0,100,52.95,0,0,0,12/23/2014,12/29/2014,15220
12/23/2014,1041,Crenshaw County,AL,0,100,2.04,0,0,0,12/23/2014,12/29/2014,5670
12/23/2014,1043,Cullman County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,33040
12/23/2014,1045,Dale County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,19960
12/23/2014,1047,Dallas County,AL,0,100,99.86,0,0,0,12/23/2014,12/29/2014,17030
12/23/2014,1049,DeKalb County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,26530
12/23/2014,1051,Elmore County,AL,0,100,98.91,0,0,0,12/23/2014,12/29/2014,34520
12/23/2014,1053,Escambia County,AL,0,100,42.87,0,0,0,12/23/2014,12/29/2014,14610
12/23/2014,1055,Etowah County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,42010
12/23/2014,1057,Fayette County,AL,68.11,31.89,0,0,0,0,12/23/2014,12/29/2014,6280
12/23/2014,1059,Franklin County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,12630
12/23/2014,1061,Geneva County,AL,0,100,9.2,0,0,0,12/23/2014,12/29/2014,10520
12/23/2014,1063,Greene County,AL,0,100,0.12,0,0,0,12/23/2014,12/29/2014,3430
12/23/2014,1065,Hale County,AL,0,100,12.82,0,0,0,12/23/2014,12/29/2014,6430
12/23/2014,1067,Henry County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,7110
12/23/2014,1069,Houston County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,45260
12/23/2014,1071,Jackson County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,21310
12/23/2014,1073,Jefferson County,AL,25.73,74.27,0,0,0,0,12/23/2014,12/29/2014,296490
12/23/2014,1075,Lamar County,AL,93.27,6.73,0,0,0,0,12/23/2014,12/29/2014,5380
12/23/2014,1077,Lauderdale County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,38060
12/23/2014,1079,Lawrence County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,13600
12/23/2014,1081,Lee County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,60580
12/23/2014,1083,Limestone County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,36760
12/23/2014,1085,Lowndes County,AL,0,100,99.89,0,0,0,12/23/2014,12/29/2014,5120
12/23/2014,1087,Macon County,AL,0,100,5.06,0,0,0,12/23/2014,12/29/2014,8460
12/23/2014,1089,Madison County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,160800
12/23/2014,1091,Marengo County,AL,0,100,99.82,0,0,0,12/23/2014,12/29/2014,8310
12/23/2014,1093,Marion County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,10790
12/23/2014,1095,Marshall County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,39440
12/23/2014,1097,Mobile County,AL,0,100,100,70.39,0,0,12/23/2014,12/29/2014,177890
12/23/2014,1099,Monroe County,AL,0,100,100,0,0,0,12/23/2014,12/29/2014,8510
12/23/2014,1101,Montgomery County,AL,0,100,66.79,0,0,0,12/23/2014,12/29/2014,103480
12/23/2014,1103,Morgan County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,52350
12/23/2014,1105,Perry County,AL,0,100,50.17,0,0,0,12/23/2014,12/29/2014,3730
12/23/2014,1107,Pickens County,AL,1.37,98.63,0,0,0,0,12/23/2014,12/29/2014,7660
12/23/2014,1109,Pike County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,12670
12/23/2014,1111,Randolph County,AL,0,100,85.32,0,0,0,12/23/2014,12/29/2014,8900
12/23/2014,1113,Russell County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,28340
12/23/2014,1115,Saint Clair County,AL,34.36,65.64,0,0,0,0,12/23/2014,12/29/2014,34720
12/23/2014,1117,Shelby County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,90360
12/23/2014,1119,Sumter County,AL,0,100,27.13,0,0,0,12/23/2014,12/29/2014,5120
12/23/2014,1121,Talladega County,AL,3.06,96.94,3.33,0,0,0,12/23/2014,12/29/2014,32700
12/23/2014,1123,Tallapoosa County,AL,0,100,89.28,0,0,0,12/23/2014,12/29/2014,18020
12/23/2014,1125,Tuscaloosa County,AL,0,100,0,0,0,0,12/23/2014,12/29/2014,79860
12/23/2014,1127,Walker County,AL,95.25,4.75,0,0,0,0,12/23/2014,12/29/2014,25570
12/23/2014,1129,Washington County,AL,0,100,100,0,0,0,12/23/2014,12/29/2014,6680
12/23/2014,1131,Wilcox County,AL,0,100,100,0,0,0,12/23/2014,12/29/2014,4470
12/23/2014,1133,Winston County,AL,100,0,0,0,0,0,12/23/2014,12/29/2014,9210
12/23/2014,2013,Aleutians East Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,1000
12/23/2014,2016,Aleutians West Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,2330
12/23/2014,2020,Anchorage Municipality,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,156050
12/23/2014,2050,Bethel Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,7200
12/23/2014,2060,Bristol Bay Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,540
12/23/2014,2068,Denali Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,1130
12/23/2014,2070,Dillingham Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,2270
12/23/2014,2090,Fairbanks North Star Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,48640
12/23/2014,2100,Haines Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,1400
12/23/2014,2110,Juneau City and Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,1050
12/23/2014,2122,Kenai Peninsula Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,17790
12/23/2014,2130,Ketchikan Gateway Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,29380
12/23/2014,2150,Kodiak Island Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,7280
12/23/2014,2164,Lake and Peninsula Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,7220
12/23/2014,2170,Matanuska-Susitna Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,810
12/23/2014,2180,Nome Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,43010
12/23/2014,2185,North Slope Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,3960
12/23/2014,2188,Northwest Arctic Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,3500
12/23/2014,2201,Prince of Wales-Outer Ketchikan Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,2740
12/23/2014,2220,Sitka City and Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,1970
12/23/2014,2232,Skagway-Hoonah-Angoon Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,2390
12/23/2014,2240,Southeast Fairbanks Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,4760
12/23/2014,2261,Valdez-Cordova Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,720
12/23/2014,2270,Wade Hampton Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,3390
12/23/2014,2280,Wrangell-Petersburg Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,5280
12/23/2014,2282,Yakutat City and Borough,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,3070
12/23/2014,2290,Yukon-Koyukuk Census Area,AK,100,0,0,0,0,0,12/23/2014,12/29/2014,1120
12/23/2014,4001,Apache County,AZ,0,100,100,90.3,18.35,0,12/23/2014,12/29/2014,310
12/23/2014,4003,Cochise County,AZ,0,100,71.32,9.47,1.02,0,12/23/2014,12/29/2014,2810
