Ybracket,Year,NumRet,AGI,AvTax,Deductions,Eclass,PerCapitaAGI,PercentageDeductions
"$1 under $1,000 ",2001,1837978,1055221,1.2,8351543,Bottom 50%,0.574120583,7.914496584
"$1,000 under $3,000 ",2001,5370910,10773315,5.9,27951839,Bottom 50%,2.005863997,2.594543926
"$3,000 under $5,000 ",2001,5383155,21469839,2.5,40080189,Bottom 50%,3.988337508,1.866813673
"$5,000 under $7,000 ",2001,4954876,29752585,2.8,42742160,Bottom 50%,6.004708291,1.436586434
"$7,000 under $9,000 ",2001,4975444,39738309,2.8,48603257,Bottom 50%,7.986886999,1.223083171
"$9,000 under $11,000",2001,4903020,49014583,3.2,52224587,Bottom 50%,9.99681482,1.065490795
"$11,000 under $13,000 ",2001,4666912,56048919,4.7,51532471,Bottom 50%,12.00985127,0.919419534
"$13,000 under $15,000 ",2001,4757038,66611416,5.4,53492523,Bottom 50%,14.00270841,0.803053384
"$15,000 under $17,000 ",2001,4655768,74393134,5.8,53971666,Bottom 50%,15.97870298,0.72549257
"$17,000 under $19,000 ",2001,4688595,84303762,6.4,56218518,Bottom 50%,17.98060229,0.666856575
"$19,000 under $22,000 ",2001,6379736,130782945,7.1,77817748,Bottom 50%,20.49974247,0.595014495
"$22,000 under $25,000 ",2001,5724238,134364721,7.4,71723065,Bottom 50%,23.47294452,0.533793874
"$25,000 under $30,000 ",2001,8563035,235155806,8.0,109869726,Bottom 50%,27.46173594,0.467220979
"$30,000 under $40,000 ",2001,13843639,480541398,8.6,193830419,Middle Class,34.71207231,0.40335842
"$40,000 under $50,000 ",2001,10612617,475360387,9.6,171668365,Middle Class,44.79200437,0.361133089
"$50,000 under $75,000 ",2001,17559778,1074476035,10.7,343601152,Middle Class,61.18961384,0.319784845
"$75,000 under $100,000",2001,8903894,764115039,13.0,217971128,Middle Class,85.81807454,0.285259571
"$100,000 under $200,000",2001,8469199,1114318617,16.6,271710613,Middle Class,131.5730823,0.243835658
"$200,000 under $500,000 ",2001,2018372,578592628,23.3,96875261,Top 2%,286.6630274,0.167432588
"$500,000 under $1,000,000",2001,355617,240863950,28.1,29953997,Top 2%,677.3128113,0.124360648
"$1,000,000 under $1,500,000 ",2001,85479,103192473,29.3,11936828,Top 2%,1207.22602,0.115675375
"$1,500,000 under $2,000,000",2001,36491,62634095,29.5,7028843,Top 2%,1716.425831,0.112220716
"$2,000,000 under $5,000,000 ",2001,52157,154967884,29.6,16780880,Top 2%,2971.180934,0.108286179
"$5,000,000 under $10,000,000",2001,12266,83519500,29.0,9200677,Top 2%,6809.024947,0.110162022
"$10,000,000 or more ",2001,6836,174988989,27.4,21743397,Top 2%,25598.15521,0.124255801
"$1 under $1,000 ",2002,1812110,1028189,1.2,8855810,Bottom 50%,0.567398778,8.613017646
"$1,000 under $3,000 ",2002,4832988,9835110,4.8,28389468,Bottom 50%,2.034995742,2.886543008
"$3,000 under $5,000 ",2002,5163776,20664036,1.9,39960916,Bottom 50%,4.001729742,1.933838869
"$5,000 under $7,000 ",2002,5019326,30092034,2.4,45600646,Bottom 50%,5.995234021,1.515372673
"$7,000 under $9,000 ",2002,4977282,39783173,2.7,50502811,Bottom 50%,7.992951374,1.269451559
"$9,000 under $11,000",2002,5061799,50702341,2.6,56969639,Bottom 50%,10.01666423,1.123609638
"$11,000 under $13,000 ",2002,4748173,56974191,3.7,54002395,Bottom 50%,11.99918179,0.94783961
"$13,000 under $15,000 ",2002,4808347,67289532,4.4,57353476,Bottom 50%,13.99431697,0.852338756
"$15,000 under $17,000 ",2002,4632156,74014744,4.7,55605184,Bottom 50%,15.97846532,0.75127172
"$17,000 under $19,000 ",2002,4508626,81156450,5.3,56509518,Bottom 50%,18.00026216,0.696303473
"$19,000 under $22,000 ",2002,6522571,133706690,5.9,83630471,Bottom 50%,20.49907774,0.625477087
