"","ids","N1"
"1",1,23700
"2",2,88490
"3",3,10050
"4",4,7900
"5",5,22040
"6",6,3790
"7",7,8440
"8",8,48180
"9",9,15050
"10",10,9240
"11",11,17280
"12",12,5260
"13",13,10320
"14",14,5530
"15",15,5750
"16",16,20860
"17",17,23740
"18",18,5080
"19",19,4050
"20",20,15220
"21",21,5670
"22",22,33040
"23",23,19960
"24",24,17030
"25",25,26530
"26",26,34520
"27",27,14610
"28",28,42010
"29",29,6280
"30",30,12630
"31",31,10520
"32",32,3430
"33",33,6430
"34",34,7110
"35",35,45260
"36",36,21310
"37",37,296490
"38",38,5380
"39",39,38060
"40",40,13600
"41",41,60580
"42",42,36760
"43",43,5120
"44",44,8460
"45",45,160800
"46",46,8310
"47",47,10790
"48",48,39440
"49",49,177890
"50",50,8510
"51",51,103480
"52",52,52350
"53",53,3730
"54",54,7660
"55",55,12670
"56",56,8900
"57",57,28340
"58",58,34720
"59",59,90360
"60",60,5120
"61",61,32700
"62",62,18020
"63",63,79860
"64",64,25570
"65",65,6680
"66",66,4470
"67",67,9210
"68",68,1000
"69",69,2330
"70",70,156050
"71",71,7200
"72",72,540
"73",73,1130
"74",74,2270
"75",75,48640
"76",76,1400
"77",77,1050
"78",78,17790
"79",79,29380
"80",80,7280
"81",81,7220
"82",82,810
"83",83,43010
"84",84,3960
"85",85,3500
"86",86,2740
"87",87,1970
"88",88,2390
"89",89,4760
"90",90,720
"91",91,3390
"92",92,5280
"93",93,3070
"94",94,1120
"95",95,310
"96",96,2810
"97",97,23890
"98",98,52810
"99",99,56170
"100",100,21490
"101",101,11230
"102",102,3270
"103",103,6520
"104",104,1715270
"105",105,78640
"106",106,37600
"107",107,425260
"108",108,127610
"109",109,19780
"110",110,97220
"111",111,82850
"112",112,8180
"113",113,8640
"114",114,17650
"115",115,100700
"116",116,15420
"117",117,4370
"118",118,1930
"119",119,12070
"120",120,4260
"121",121,8560
"122",122,6050
"123",123,10840
"124",124,3170
"125",125,9270
"126",126,8540
"127",127,41000
"128",128,23870
"129",129,21410
"130",130,7390
"131",131,3040
"132",132,5180
"133",133,7200
"134",134,48200
"135",135,8950
"136",136,1780
"137",137,3280
"138",138,23800
"139",139,14110
"140",140,23060
"141",141,5040
"142",142,16760
"143",143,10380
"144",144,11880
"145",145,5290
"146",146,224810
"147",147,60450
"148",148,52540
"149",149,24820
"150",150,306630
"151",151,83920
"152",152,7340
"153",153,16090
"154",154,17210
"155",155,12910
"156",156,12580
"157",157,144760
"158",158,81350
"159",159,51820
"160",160,22420
"161",161,122200
"162",162,20510
"163",163,6020
"164",164,6620
"165",165,6720
"166",166,6090
"167",167,8010
"168",168,16160
"169",169,13140
"170",170,15700
"171",171,6980
"172",172,24990
"173",173,87070
"174",174,13100
"175",175,7900
"176",176,7030
"177",177,1530
"178",178,2470
"179",179,2950
"180",180,13720
"181",181,7550
"182",182,70200
"183",183,120440
"184",184,13120
"185",185,96640
"186",186,6270
"187",187,2390
"188",188,10000
"189",189,2830
"190",190,21900
"191",191,63750
"192",192,9760
"193",193,34730
"194",194,5690
"195",195,7870
"196",196,7210
"197",197,6680
"198",198,6490
"199",199,27810
"200",200,304800
"201",201,42630
"202",202,133940
"203",203,19800
"204",204,15370
"205",205,165890
"206",206,41330
"207",207,5210
"208",208,5930
"209",209,26010
"210",210,9840
"211",211,9390
"212",212,18110
"213",213,54100
"214",214,12790
"215",215,15260
"216",216,4830
"217",217,13860
"218",218,24010
"219",219,13050
"220",220,19770
"221",221,48060
"222",222,21990
"223",223,89640
"224",224,11690
"225",225,36100
"226",226,8920
"227",227,10890
"228",228,9620
"229",229,15900
"230",230,29940
"231",231,14640
"232",232,124470
"233",233,45490
"234",234,18560
"235",235,69750
"236",236,23560
"237",237,39740
"238",238,17830
"239",239,21400
"240",240,15530
"241",241,9680
"242",242,14770
"243",243,12850
"244",244,67090
"245",245,18310
"246",246,36830
"247",247,16960
"248",248,224130
"249",249,54020
"250",250,21380
"251",251,58830
"252",252,436600
"253",253,30790
"254",254,4980
"255",255,14960
"256",256,54050
"257",257,19490
"258",258,33010
"259",259,6930
"260",260,21240
"261",261,3070
"262",262,8620
"263",263,9760
"264",264,6970
"265",265,8630
"266",266,5720
"267",267,77460
"268",268,14280
"269",269,6100
"270",270,15520
"271",271,11880
"272",272,12820
"273",273,8000
"274",274,119170
"275",275,13120
"276",276,20980
"277",277,10060
"278",278,10240
"279",279,15790
"280",280,9030
"281",281,4120
"282",282,70120
"283",283,9620
"284",284,3320
"285",285,83120
"286",286,9060
"287",287,45380
"288",288,15820
"289",289,4180
"290",290,27590
"291",291,13200
"292",292,30100
"293",293,13040
"294",294,12000
"295",295,16130
"296",296,3730
"297",297,1910
"298",298,6730
"299",299,5610
"300",300,2840
"301",301,11770
"302",302,58450
"303",303,13560
"304",304,10790
"305",305,9660
"306",306,9630
"307",307,7040
"308",308,4600
"309",309,10030
"310",310,6640
"311",311,8690
"312",312,20670
"313",313,6350
"314",314,5870
"315",315,4380
"316",316,8010
"317",317,8530
"318",318,22530
"319",319,8040
"320",320,31950
"321",321,5740
"322",322,3190
"323",323,8170
"324",324,19020
"325",325,8830
"326",326,45340
"327",327,5710
"328",328,9030
"329",329,7370
"330",330,4830
"331",331,3340
"332",332,4320
"333",333,5710
"334",334,5220
"335",335,7300
"336",336,5280
"337",337,7830
"338",338,6770
"339",339,8900
"340",340,4640
"341",341,4580
"342",342,3380
"343",343,7980
"344",344,9520
"345",345,16630
"346",346,7790
"347",347,58460
"348",348,11650
"349",349,4780
"350",350,7380
"351",351,16000
"352",352,100250
"353",353,7950
"354",354,3910
"355",355,5070
"356",356,6960
"357",357,9570
"358",358,14350
"359",359,18070
"360",360,6820
"361",361,4850
"362",362,4190
"363",363,3540
"364",364,4790
"365",365,20160
"366",366,6870
"367",367,3200
"368",368,6650
"369",369,4320
"370",370,11620
"371",371,3790
"372",372,206930
"373",373,49020
"374",374,8830
"375",375,2260
"376",376,4730
"377",377,78700
"378",378,8580
"379",379,13810
"380",380,34900
"381",381,9460
"382",382,2930
"383",383,5680
"384",384,3270
"385",385,15500
"386",386,21210
"387",387,10650
"388",388,2870
"389",389,16180
"390",390,5450
"391",391,9250
"392",392,46010
"393",393,4360
"394",394,6000
"395",395,6060
"396",396,3570
"397",397,7020
"398",398,2420
"399",399,12640
"400",400,6620
"401",401,4520
"402",402,27940
"403",403,2090
"404",404,1560
"405",405,8750
"406",406,1350
"407",407,1010
"408",408,3990
"409",409,4350
"410",410,4150
"411",411,970
"412",412,15790
"413",413,16310
"414",414,1630
"415",415,9240
"416",416,3470
"417",417,46620
"418",418,2990
"419",419,1260
"420",420,13160
"421",421,3220
"422",422,16850
"423",423,15800
"424",424,11940
"425",425,18280
"426",426,1430
"427",427,1360
"428",428,3210
"429",429,2710
"430",430,730
"431",431,2970
"432",432,1140
"433",433,2660
"434",434,15570
"435",435,1950
"436",436,990
"437",437,6260
"438",438,8490
"439",439,1610
"440",440,255520
"441",441,21140
"442",442,3740
"443",443,1220
"444",444,9670
"445",445,1000
"446",446,32130
"447",447,2140
"448",448,4080
"449",449,1410
"450",450,14510
"451",451,14060
"452",452,5670
"453",453,5030
"454",454,2050
"455",455,14640
"456",456,3430
"457",457,14760
"458",458,2810
"459",459,1550
"460",460,4960
"461",461,7290
"462",462,1570
"463",463,2530
"464",464,7470
"465",465,2010
"466",466,2840
"467",467,3050
"468",468,2700
"469",469,10070
"470",470,4680
"471",471,1440
"472",472,28720
"473",473,2990
"474",474,4380
"475",475,26190
"476",476,3220
"477",477,1650
"478",478,3310
"479",479,26660
"480",480,2890
"481",481,223880
"482",482,16490
"483",483,83280
"484",484,2940
"485",485,2820
"486",486,1970
"487",487,2050
"488",488,980
"489",489,2340
"490",490,10550
"491",491,3920
"492",492,1660
"493",493,3210
"494",494,770
"495",495,2860
"496",496,1070
"497",497,4110
"498",498,1590
"499",499,68900
"500",500,7260
"501",501,7610
"502",502,10200
"503",503,3510
"504",504,17850
"505",505,4740
"506",506,9350
"507",507,55150
"508",508,10570
"509",509,19320
"510",510,12170
"511",511,3850
"512",512,4690
"513",513,7850
"514",514,35640
"515",515,5400
"516",516,5520
"517",517,14360
"518",518,41310
"519",519,3240
"520",520,4750
"521",521,10410
"522",522,5950
"523",523,29400
"524",524,15750
"525",525,6690
"526",526,3860
"527",527,3590
"528",528,2690
"529",529,43670
"530",530,5580
"531",531,2110
"532",532,5390
"533",533,133330
"534",534,10690
"535",535,13580
"536",536,23950
"537",537,2730
"538",538,3370
"539",539,6680
"540",540,10340
"541",541,15170
"542",542,10140
"543",543,4480
"544",544,14840
"545",545,4070
"546",546,46590
"547",547,10370
"548",548,7760
"549",549,7270
"550",550,19700
"551",551,7260
"552",552,1980
"553",553,19020
"554",554,4830
"555",555,352100
"556",556,31620
"557",557,8840
"558",558,74820
"559",559,7450
"560",560,11060
"561",561,6110
"562",562,22830
"563",563,5860
"564",564,2300
"565",565,3820
"566",566,8020
"567",567,4840
"568",568,9350
"569",569,4140
"570",570,11130
"571",571,3370
"572",572,29380
"573",573,5840
"574",574,3850
"575",575,33390
"576",576,4640
"577",577,7930
"578",578,13770
"579",579,3580
"580",580,7170
"581",581,12470
"582",582,2370
"583",583,9490
"584",584,4020
"585",585,4310
"586",586,11040
"587",587,4330
"588",588,12140
"589",589,20770
"590",590,3190
"591",591,9690
"592",592,24330
"593",593,6260
"594",594,1380
"595",595,6090
"596",596,10720
"597",597,21710
"598",598,5400
"599",599,25200
"600",600,1180
"601",601,5940
"602",602,8300
"603",603,7030
"604",604,21390
"605",605,19730
"606",606,8540
"607",607,7710
"608",608,10100
"609",609,4870
"610",610,5980
"611",611,3720
"612",612,5790
"613",613,48820
"614",614,6270
"615",615,7540
"616",616,5470
"617",617,13350
"618",618,2550
"619",619,11870
"620",620,24600
"621",621,9240
"622",622,48690
"623",623,10930
"624",624,16120
"625",625,13970
"626",626,6050
"627",627,53120
"628",628,112710
"629",629,86830
"630",630,5980
"631",631,2910
"632",632,3890
"633",633,5660
"634",634,7810
"635",635,11810
"636",636,196820
"637",637,10670
"638",638,8390
"639",639,12710
"640",640,8150
"641",641,8010
"642",642,32040
"643",643,14360
"644",644,6410
"645",645,202010
"646",646,19390
"647",647,100560
"648",648,44870
"649",649,6250
"650",650,17480
"651",651,54970
"652",652,5010
"653",653,11380
"654",654,15100
"655",655,156710
"656",656,73100
"657",657,11640
"658",658,9790
"659",659,56630
"660",660,4630
"661",661,8380
"662",662,8920
"663",663,16640
"664",664,23640
"665",665,6250
"666",666,9850
"667",667,19500
"668",668,35790
"669",669,23140
"670",670,24220
"671",671,106050
"672",672,55170
"673",673,2710
"674",674,47730
"675",675,10390
"676",676,24160
"677",677,21890
"678",678,16970
"679",679,16840
"680",680,11660
"681",681,4580
"682",682,4500
"683",683,5310
"684",684,47560
"685",685,31030
"686",686,139980
"687",687,18950
"688",688,26620
"689",689,57240
"690",690,20060
"691",691,17560
"692",692,25230
"693",693,66190
"694",694,8300
"695",695,17680
"696",696,21820
"697",697,17820
"698",698,14160
"699",699,99040
"700",700,31100
"701",701,257020
"702",702,404740
"703",703,57950
"704",704,16850
"705",705,78350
"706",706,48980
"707",707,72520
"708",708,17270
"709",709,111370
"710",710,18750
"711",711,118090
"712",712,135360
"713",713,24090
"714",714,455940
"715",715,498960
"716",716,31570
"717",717,48810
"718",718,10740
"719",719,17910
"720",720,67550
"721",721,44310
"722",722,27440
"723",723,261170
"724",724,123430
"725",725,67630
"726",726,254990
"727",727,17220
"728",728,357790
"729",729,56100
"730",730,209860
"731",731,73900
"732",732,704810
"733",733,71650
"734",734,310670
"735",735,267560
"736",736,352160
"737",737,383170
"738",738,20720
"739",739,4070
"740",740,51960
"741",741,14570
"742",742,11220
"743",743,7490
"744",744,3580
"745",745,26820
"746",746,52760
"747",747,9480
"748",748,71520
"749",749,20300
"750",750,60350
"751",751,23450
"752",752,13430
"753",753,12550
"754",754,15920
"755",755,13060
"756",756,34560
"757",757,6940
"758",758,17480
"759",759,13060
"760",760,52470
"761",761,17480
"762",762,190500
"763",763,13800
"764",764,6870
"765",765,44840
"766",766,18170
"767",767,19290
"768",768,14570
"769",769,16550
"770",770,119070
"771",771,29480
"772",772,12170
"773",773,5600
"774",774,25450
"775",775,69990
"776",776,114010
"777",777,11340
"778",778,282170
"779",779,9710
"780",780,4290
"781",781,41190
"782",782,11870
"783",783,45380
"784",784,88150
"785",785,6030
"786",786,5920
"787",787,422180
"788",788,18440
"789",789,29950
"790",790,14270
"791",791,16560
"792",792,11230
"793",793,38070
"794",794,8370
"795",795,70490
"796",796,27550
"797",797,4490
"798",798,75460
"799",799,21590
"800",800,583520
"801",801,49760
"802",802,9530
"803",803,2970
"804",804,9890
"805",805,3710
"806",806,11820
"807",807,121440
"808",808,9620
"809",809,11270
"810",810,89220
"811",811,77410
"812",812,28710
"813",813,19060
"814",814,3880
"815",815,32200
"816",816,25470
"817",817,34220
"818",818,151130
"819",819,800900
"820",820,29740
"821",821,7110
"822",822,162840
"823",823,19450
"824",824,19030
"825",825,18710
"826",826,2620
"827",827,28340
"828",828,13650
"829",829,16010
"830",830,41540
"831",831,17220
"832",832,6120
"833",833,25100
"834",834,26790
"835",835,4310
"836",836,2950
"837",837,5620
"838",838,29650
"839",839,197430
"840",840,18690
"841",841,17830
"842",842,7410
"843",843,9810
"844",844,15010
"845",845,22640
"846",846,3630
"847",847,567290
"848",848,46440
"849",849,9560
"850",850,17870
"851",851,20720
"852",852,5460
"853",853,7390
"854",854,20240
"855",855,2710
"856",856,6200
"857",857,3350
"858",858,5380
"859",859,2070
"860",860,13190
"861",861,2930
"862",862,11720
"863",863,17920
"864",864,2630
"865",865,4470
"866",866,10200
"867",867,10950
"868",868,11920
"869",869,15470
"870",870,18520
"871",871,4330
"872",872,14920
"873",873,10560
"874",874,3230
"875",875,69670
"876",876,30690
"877",877,7350
"878",878,12560
"879",879,4490
"880",880,14410
"881",881,5720
"882",882,244310
